UNIX timestamp [s],Time UTC,Power [W]
1605190018,2020-11-12 14:06:58,-4.332640969183695
1605190078,2020-11-12 14:07:58,-4.329467721374563
1605190138,2020-11-12 14:08:58,-4.311846460781499
1605190198,2020-11-12 14:09:58,-4.3118610387514815
1605190258,2020-11-12 14:10:58,-4.321257068256932
1605190318,2020-11-12 14:11:58,-4.3145376295549545
1605190378,2020-11-12 14:12:58,-4.322534810232645
1605190438,2020-11-12 14:13:58,-4.332466597434144
1605190498,2020-11-12 14:14:58,-4.329674974501398
1605190558,2020-11-12 14:15:58,-4.331815298729425
1605190618,2020-11-12 14:16:58,-4.330169952661378
1605190678,2020-11-12 14:17:58,-4.319622710183301
1605190738,2020-11-12 14:18:58,-4.317639691859947
1605190798,2020-11-12 14:19:58,-4.331802644310188
1605190858,2020-11-12 14:20:58,-4.336548387695012
1605190918,2020-11-12 14:21:58,-4.346533809904432
1605190978,2020-11-12 14:22:58,-4.313351659272441
1605191038,2020-11-12 14:23:58,-4.340976531390288
1605191098,2020-11-12 14:24:58,-4.329476807053324
1605191158,2020-11-12 14:25:58,-4.314485383404002
1605191218,2020-11-12 14:26:58,-4.338716162649286
1605191278,2020-11-12 14:27:58,-4.313926051923094
1605191339,2020-11-12 14:28:59,-4.3292482604392255
1605191399,2020-11-12 14:29:59,-4.336761648577004
1605191459,2020-11-12 14:30:59,-4.324218359085647
1605191519,2020-11-12 14:31:59,-4.3303941550420255
1605191579,2020-11-12 14:32:59,-4.341674833104385
1605191639,2020-11-12 14:33:59,-4.3296820553853035
1605191699,2020-11-12 14:34:59,-4.32148453108734
1605191759,2020-11-12 14:35:59,-4.337326414599792
1605191819,2020-11-12 14:36:59,-4.332861375597701
1605191879,2020-11-12 14:37:59,-4.320555520204906
1605191939,2020-11-12 14:38:59,-4.3244686161674055
1605191999,2020-11-12 14:39:59,-4.333578188775282
1605192059,2020-11-12 14:40:59,-4.323165393182721
1605192119,2020-11-12 14:41:59,-4.33280334067211
1605192179,2020-11-12 14:42:59,-4.322162075683989
1605192239,2020-11-12 14:43:59,-4.341429008369121
1605192299,2020-11-12 14:44:59,-4.317919686849358
1605192359,2020-11-12 14:45:59,-4.334930531276754
1605192419,2020-11-12 14:46:59,-4.333253945369742
1605192479,2020-11-12 14:47:59,-4.320525685654295
1605192539,2020-11-12 14:48:59,-4.31678155301312
1605192599,2020-11-12 14:49:59,-4.321302806707321
1605192659,2020-11-12 14:50:59,-4.319720997957362
1605192719,2020-11-12 14:51:59,-4.3293159963230226
1605192779,2020-11-12 14:52:59,-4.314795254636061
1605192840,2020-11-12 14:54:00,-4.32402544199221
1605192900,2020-11-12 14:55:00,-4.320736243152705
1605192960,2020-11-12 14:56:00,-4.302036616173558
1605193020,2020-11-12 14:57:00,-4.337461176405417
1605193080,2020-11-12 14:58:00,-4.356072852664274
1605193140,2020-11-12 14:59:00,-4.336182280879911
1605193200,2020-11-12 15:00:00,-4.362571147589611
1605193260,2020-11-12 15:01:00,-4.315018968444549
1605193320,2020-11-12 15:02:00,-4.33895449472807
1605193380,2020-11-12 15:03:00,-4.315354862921634
1605193440,2020-11-12 15:04:00,-4.319009391197624
1605193500,2020-11-12 15:05:00,-4.314403571695463
1605193560,2020-11-12 15:06:00,-4.297395349661899
1605193620,2020-11-12 15:07:00,-4.308810013737591
1605193680,2020-11-12 15:08:00,-4.3319238770914135
1605193740,2020-11-12 15:09:00,-4.3162632415532425
1605193800,2020-11-12 15:10:00,-4.318596387653439
1605193860,2020-11-12 15:11:00,-4.327218495110006
1605193920,2020-11-12 15:12:00,-4.311737840936968
1605193980,2020-11-12 15:13:00,-4.310402021056651
1605194040,2020-11-12 15:14:00,-4.317922928263847
1605194100,2020-11-12 15:15:00,-4.324721202556583
1605194160,2020-11-12 15:16:00,-4.30172298741957
1605194220,2020-11-12 15:17:00,-4.318546846053319
1605194280,2020-11-12 15:18:00,-4.3206940699560015
1605194340,2020-11-12 15:19:00,-4.319202139652282
1605194400,2020-11-12 15:20:00,-4.305991241231052
1605194461,2020-11-12 15:21:01,-4.340275847782294
1605194521,2020-11-12 15:22:01,-4.343769753525794
1605194581,2020-11-12 15:23:01,-4.309779707363476
1605194641,2020-11-12 15:24:01,-4.312514541463006
1605194701,2020-11-12 15:25:01,-4.318311510683947
1605194761,2020-11-12 15:26:01,-4.308022812472388
1605194821,2020-11-12 15:27:01,-4.3275314197233365
1605194881,2020-11-12 15:28:01,-4.311047624756422
1605194941,2020-11-12 15:29:01,-4.34505346758049
1605195001,2020-11-12 15:30:01,-4.328493528344736
1605195061,2020-11-12 15:31:01,-4.328614977876695
1605195121,2020-11-12 15:32:01,-4.308890840535116
1605195181,2020-11-12 15:33:01,-4.305384254468223
1605195241,2020-11-12 15:34:01,-4.304486090627598
1605195301,2020-11-12 15:35:01,-4.336061470376577
1605195361,2020-11-12 15:36:01,-4.333119656138849
1605195421,2020-11-12 15:37:01,-4.315990192449919
1605195481,2020-11-12 15:38:01,-4.3564587765204585
1605195541,2020-11-12 15:39:01,-4.337459219572883
1605195601,2020-11-12 15:40:01,-4.335619487447626
1605195661,2020-11-12 15:41:01,-4.31068095904941
1605195721,2020-11-12 15:42:01,-4.343731633182161
1605195781,2020-11-12 15:43:01,-4.311442371254389
1605195841,2020-11-12 15:44:01,-4.319103671357331
1605195901,2020-11-12 15:45:01,-4.331882564103656
1605195961,2020-11-12 15:46:01,-4.315571335034042
1605196022,2020-11-12 15:47:02,-4.339771205821803
1605196082,2020-11-12 15:48:02,-4.319160770217175
1605196142,2020-11-12 15:49:02,-4.326381895892184
1605196202,2020-11-12 15:50:02,-4.337452549743218
1605196262,2020-11-12 15:51:02,-4.332715411680744
1605196322,2020-11-12 15:52:02,-4.338591774501393
1605196382,2020-11-12 15:53:02,-4.326956180676248
1605196442,2020-11-12 15:54:02,-4.341315419389289
1605196502,2020-11-12 15:55:02,-4.3269635886167634
1605196562,2020-11-12 15:56:02,-4.32040132480228
1605196622,2020-11-12 15:57:02,-4.3277419202955025
1605196682,2020-11-12 15:58:02,-4.32800039521496
1605196742,2020-11-12 15:59:02,-4.353163413004511
1605196802,2020-11-12 16:00:02,-4.324419710617905
1605196862,2020-11-12 16:01:02,-4.304471213300931
1605196922,2020-11-12 16:02:02,-4.3308028069899915
1605196982,2020-11-12 16:03:02,-4.3205182534857105
1605197042,2020-11-12 16:04:02,-4.302854697059029
1605197103,2020-11-12 16:05:03,-4.307336135476729
1605197163,2020-11-12 16:06:03,-4.342619602129071
1605197223,2020-11-12 16:07:03,-4.315057465812417
1605197283,2020-11-12 16:08:03,-4.3107589399980935
1605197343,2020-11-12 16:09:03,-4.334343246116248
1605197403,2020-11-12 16:10:03,-4.313454182740005
1605197463,2020-11-12 16:11:03,-4.321234886905627
1605197523,2020-11-12 16:12:03,-4.32740254942599
1605197583,2020-11-12 16:13:03,-4.336661876664813
1605197643,2020-11-12 16:14:03,-4.326223037310403
1605197703,2020-11-12 16:15:03,-4.3367591424150564
1605197763,2020-11-12 16:16:03,-4.337873756998301
1605197823,2020-11-12 16:17:03,-4.327040503724561
1605197883,2020-11-12 16:18:03,-4.306002227399738
1605197943,2020-11-12 16:19:03,-4.327806080121036
1605198003,2020-11-12 16:20:03,-4.327367593861883
1605198063,2020-11-12 16:21:03,-4.332978638146718
1605198123,2020-11-12 16:22:03,-4.328723917639588
1605198183,2020-11-12 16:23:03,-4.33314648800905
1605198243,2020-11-12 16:24:03,-4.3481677384572075
1605198303,2020-11-12 16:25:03,-4.3193832695390055
1605198363,2020-11-12 16:26:03,-4.319814611612985
1605198424,2020-11-12 16:27:04,-4.319152172272481
1605198484,2020-11-12 16:28:04,-4.32244604237213
1605198544,2020-11-12 16:29:04,-4.329457610649085
1605198604,2020-11-12 16:30:04,-4.344644474553823
1605198664,2020-11-12 16:31:04,-4.330812878552501
